ts_code,trade_date,high,low,close
000985.CSI,20230531,4834.7189,4792.6706,4814.7948
000985.CSI,20230530,4841.2365,4773.538,4841.2365
000985.CSI,20230529,4860.1982,4813.7817,4824.9204
000985.CSI,20230526,4850.6482,4791.3938,4841.9347
000985.CSI,20230525,4841.3812,4776.3462,4824.0094
000985.CSI,20230524,4877.4605,4830.3706,4833.6205
000985.CSI,20230523,4933.5003,4873.9444,4873.9444
000985.CSI,20230522,4945.6506,4903.742,4934.4679
000985.CSI,20230519,4940.4824,4891.8756,4916.9769
000985.CSI,20230518,4942.2458,4903.8653,4924.3557
000985.CSI,20230517,4930.4485,4895.134,4916.8555
000985.CSI,20230516,4950.0417,4900.3354,4913.1989
000985.CSI,20230515,4948.3288,4856.0658,4948.3288
000985.CSI,20230512,4958.7926,4888.2429,4888.8439
000985.CSI,20230511,4973.0528,4947.437,4950.4472
000985.CSI,20230510,4967.8416,4927.2814,4951.6911
000985.CSI,20230509,5036.9352,4963.9,4965.3615
000985.CSI,20230508,5025.2311,4983.6379,5021.6967
000985.CSI,20230505,5007.9935,4954.8672,4976.5826
000985.CSI,20230504,5010.7666,4978.9017,5010.5235
000985.CSI,20230428,5000.1723,4930.1826,4998.8052
000985.CSI,20230427,4954.4205,4894.3799,4932.2731
000985.CSI,20230426,4939.3902,4877.2013,4915.1291
000985.CSI,20230425,4960.4935,4847.0457,4902.1019
000985.CSI,20230424,5004.0565,4939.6589,4959.0685
000985.CSI,20230421,5121.6721,5003.5475,5003.5475
000985.CSI,20230420,5128.9296,5098.7965,5123.4256
000985.CSI,20230419,5164.1763,5126.3722,5134.0966
000985.CSI,20230418,5173.4475,5147.8794,5167.2232
000985.CSI,20230417,5168.2196,5125.7486,5168.2196
000985.CSI,20230414,5136.3454,5097.5066,5131.816
000985.CSI,20230413,5138.7813,5096.5839,5105.746
000985.CSI,20230412,5145.184,5119.9753,5139.6474
000985.CSI,20230411,5132.1582,5097.5905,5124.7676
000985.CSI,20230410,5170.6796,5110.6929,5121.3611
000985.CSI,20230407,5163.0884,5120.2841,5162.8095
000985.CSI,20230406,5127.0704,5096.4854,5123.7819
000985.CSI,20230404,5127.7884,5099.3548,5125.264
000985.CSI,20230403,5131.5971,5080.5997,5128.9823
000985.CSI,20230331,5076.7307,5041.6119,5074.026
000985.CSI,20230330,5045.8209,4984.8102,5040.6295
000985.CSI,20230329,5041.2385,5005.933,5021.8415
000985.CSI,20230328,5061.7951,5021.5811,5027.0252
000985.CSI,20230327,5061.148,5018.4553,5055.6172
000985.CSI,20230324,5068.9455,5042.3745,5060.337
000985.CSI,20230323,5065.6766,5014.5569,5065.6766
000985.CSI,20230322,5042.7513,5014.7322,5034.0765
000985.CSI,20230321,5009.8264,4954.7461,5009.7679
000985.CSI,20230320,4986.9707,4943.2567,4948.4184
000985.CSI,20230317,5010.9192,4953.2217,4967.6779
000985.CSI,20230316,4992.3342,4932.9803,4937.7146
000985.CSI,20230315,5034.4314,5005.5387,5007.3922
000985.CSI,20230314,5022.7481,4938.3285,4989.8018
000985.CSI,20230313,5031.233,4979.5561,5031.0275
000985.CSI,20230310,5037.7962,4992.6014,4993.5126
000985.CSI,20230309,5079.3454,5035.2993,5061.6567
000985.CSI,20230308,5072.183,5042.2169,5071.4656
000985.CSI,20230307,5157.8992,5065.7589,5066.1205
000985.CSI,20230306,5166.0725,5124.5536,5154.6552
000985.CSI,20230303,5167.3446,5125.3561,5161.7925
000985.CSI,20230302,5178.2421,5149.0998,5154.2112
000985.CSI,20230301,5173.4767,5103.1884,5169.9491
000985.CSI,20230228,5117.3106,5060.1615,5115.2711
000985.CSI,20230227,5110.1982,5066.9073,5076.5987
000985.CSI,20230224,5140.5412,5083.2556,5105.595
000985.CSI,20230223,5170.2416,5117.4111,5139.3138
000985.CSI,20230222,5171.6872,5138.3987,5149.3775
000985.CSI,20230221,5180.9747,5135.1325,5171.2614
000985.CSI,20230220,5152.4752,5046.5502,5151.9978
000985.CSI,20230217,5128.8551,5053.7032,5054.7732
000985.CSI,20230216,5219.239,5076.9465,5109.8101
000985.CSI,20230215,5199.7229,5168.5452,5180.8566
000985.CSI,20230214,5197.8954,5169.2594,5192.1722
000985.CSI,20230213,5188.7228,5131.8706,5188.1326
000985.CSI,20230210,5163.5307,5115.6854,5139.4296
000985.CSI,20230209,5160.8171,5074.5463,5160.8171
000985.CSI,20230208,5126.8359,5086.2462,5089.4361
000985.CSI,20230207,5120.0901,5090.5318,5117.0608
000985.CSI,20230206,5121.921,5075.2752,5100.2229
000985.CSI,20230203,5156.0701,5086.9928,5143.6814
000985.CSI,20230202,5195.4764,5156.1548,5172.521
000985.CSI,20230201,5175.5461,5105.9691,5175.5461
000985.CSI,20230131,5142.4761,5104.0608,5112.4134
000985.CSI,20230130,5184.5196,5129.5422,5132.8287
000985.CSI,20230120,5099.5593,5070.6518,5096.7804
000985.CSI,20230119,5059.344,5008.0499,5059.344
000985.CSI,20230118,5041.5599,5018.8551,5025.945
000985.CSI,20230117,5035.6913,5001.2313,5022.0493
000985.CSI,20230116,5059.3396,4963.8198,5023.4292
000985.CSI,20230113,4959.1449,4921.2896,4959.1444
000985.CSI,20230112,4934.9394,4899.321,4914.2045
000985.CSI,20230111,4955.3703,4905.3841,4909.2211
000985.CSI,20230110,4941.3017,4912.8066,4932.2028
000985.CSI,20230109,4941.6547,4911.9694,4928.5042
000985.CSI,20230106,4921.9712,4883.8579,4895.2398
000985.CSI,20230105,4892.7519,4831.6749,4887.5353
000985.CSI,20230104,4834.2263,4796.9555,4821.47
000985.CSI,20230103,4821.743,4733.1423,4815.9173
